scope,group_type,group,model,convention,diagnostic_only,number_of_appearances,number_of_unique_focal_players,number_of_unique_matches,brier,log_loss,accuracy,mean_predicted_probability,empirical_win_rate,prediction_bias
appearance_level,stage,2-5,Validation_best_Elo,elo_reference,False,330,106,316,0.23917083333586117,0.6798676571168129,0.603030303030303,0.5317240638076273,0.45151515151515154,0.08020891229247573
appearance_level,stage,2-5,Glicko_low_current,current,False,330,106,316,0.23803166792244063,0.6894419586151056,0.6484848484848484,0.5501945698212117,0.45151515151515154,0.0986794183060602
appearance_level,stage,2-5,Glicko_low_reversed,reversed,False,330,106,316,0.24423809574096203,0.7228158148922754,0.6484848484848484,0.5565344693376724,0.45151515151515154,0.10501931782252083
appearance_level,stage,2-5,Glicko_low_midpoint,midpoint,False,330,106,316,0.24090154480190168,0.703552701342447,0.6484848484848484,0.553364519579442,0.45151515151515154,0.10184936806429046
appearance_level,stage,2-5,Glicko_low_direct_focal,direct_focal,True,330,106,316,0.24443816848457378,0.7216910565521981,0.6484848484848484,0.5569062522677989,0.45151515151515154,0.10539110075264735
appearance_level,stage,6-10,Validation_best_Elo,elo_reference,False,449,121,433,0.20956271803928692,0.6006383183488326,0.6503340757238307,0.46200262166951,0.41870824053452116,0.043294381134988846
appearance_level,stage,6-10,Glicko_low_current,current,False,449,121,433,0.21130584696003507,0.6155201536132444,0.688195991091314,0.440565715724653,0.41870824053452116,0.021857475190131814
appearance_level,stage,6-10,Glicko_low_reversed,reversed,False,449,121,433,0.21321428821580607,0.6258374665824595,0.688195991091314,0.43912016893280126,0.41870824053452116,0.0204119283982801
appearance_level,stage,6-10,Glicko_low_midpoint,midpoint,False,449,121,433,0.21219384831960095,0.6198683935565767,0.688195991091314,0.43984294232872706,0.41870824053452116,0.0211347017942059
appearance_level,stage,6-10,Glicko_low_direct_focal,direct_focal,True,449,121,433,0.21236886723435186,0.6198071426596742,0.688195991091314,0.43967791276182583,0.41870824053452116,0.02096967222730467
appearance_level,stage,11-20,Validation_best_Elo,elo_reference,False,840,171,794,0.20408532385763442,0.5863318371446119,0.669047619047619,0.45527533688393906,0.43333333333333335,0.021942003550605715
appearance_level,stage,11-20,Glicko_low_current,current,False,840,171,794,0.20131973833443279,0.5833567455145464,0.6845238095238095,0.4435285498210044,0.43333333333333335,0.010195216487671077
appearance_level,stage,11-20,Glicko_low_reversed,reversed,False,840,171,794,0.2025224779237991,0.5881858148673076,0.6845238095238095,0.4406639983008187,0.43333333333333335,0.007330664967485356
appearance_level,stage,11-20,Glicko_low_midpoint,midpoint,False,840,171,794,0.20187960334732175,0.5853583177083156,0.6845238095238095,0.44209627406091156,0.43333333333333335,0.008762940727578217
appearance_level,stage,11-20,Glicko_low_direct_focal,direct_focal,True,840,171,794,0.20162522872941965,0.5838544906722287,0.6845238095238095,0.4422353685666664,0.43333333333333335,0.00890203523333305
appearance_level,stage,21-50,Validation_best_Elo,elo_reference,False,1807,199,1633,0.20447976379376626,0.5889244595495952,0.6712783619258439,0.43264006386356296,0.4394023242944106,-0.006762260430847655
appearance_level,stage,21-50,Glicko_low_current,current,False,1807,199,1633,0.2021240669900557,0.5858837516195562,0.6768123962368566,0.43671522832940535,0.4394023242944106,-0.0026870959650052706
appearance_level,stage,21-50,Glicko_low_reversed,reversed,False,1807,199,1633,0.20310014116102412,0.5899052656259867,0.6768123962368566,0.4349290132701919,0.4394023242944106,-0.004473311024218718
appearance_level,stage,21-50,Glicko_low_midpoint,midpoint,False,1807,199,1633,0.20257966835972857,0.5876225155426994,0.6768123962368566,0.4358221207997986,0.4394023242944106,-0.003580203494612022
appearance_level,stage,21-50,Glicko_low_direct_focal,direct_focal,True,1807,199,1633,0.20212613242201785,0.5858880115120167,0.6768123962368566,0.4358041110450233,0.4394023242944106,-0.0035982132493873054
appearance_level,stage,51+,Validation_best_Elo,elo_reference,False,19256,786,10626,0.18673280264546546,0.5488683187557939,0.7123493975903614,0.5084623620130667,0.5116846697133361,-0.0032223077002694334
appearance_level,stage,51+,Glicko_low_current,current,False,19256,786,10626,0.18369439780945349,0.5419983669277898,0.718321562110511,0.507966935635152,0.5116846697133361,-0.0037177340781840984
appearance_level,stage,51+,Glicko_low_reversed,reversed,False,19256,786,10626,0.18383343759585818,0.5424909515440329,0.718321562110511,0.5080127046776534,0.5116846697133361,-0.0036719650356827893
appearance_level,stage,51+,Glicko_low_midpoint,midpoint,False,19256,786,10626,0.18375393582211147,0.542182432793989,0.718321562110511,0.5079898201564028,0.5116846697133361,-0.003694849556933333
appearance_level,stage,51+,Glicko_low_direct_focal,direct_focal,True,19256,786,10626,0.18369021295429314,0.5419640173736732,0.718321562110511,0.5077035123113421,0.5116846697133361,-0.003981157401994007
