sample,model,model_display,bin_label,bin_lower,bin_upper,games,mean_player_a_probability,empirical_player_a_win_rate,calibration_gap
Minimum total games <=5,Glicko_C0_fixed,Glicko C0,0.5-0.6,0.5,0.6,48,0.542764562507,0.625,0.0822354374933
Minimum total games <=5,Glicko_C0_fixed,Glicko C0,0.6-0.7,0.6,0.7,48,0.655924373366,0.625,-0.0309243733657
Minimum total games <=5,Glicko_C0_fixed,Glicko C0,0.7-0.8,0.7,0.8,45,0.74983972708,0.8,0.0501602729196
Minimum total games <=5,Glicko_C0_fixed,Glicko C0,0.8-0.9,0.8,0.9,31,0.848378966119,0.806451612903,-0.0419273532161
Minimum total games <=5,Glicko_C0_fixed,Glicko C0,0.9-1.0,0.9,1,16,0.941320638902,0.9375,-0.00382063890181
Minimum total games <=5,Default_Elo,Default Elo,0.0-0.1,0,0.1,0,,,
Minimum total games <=5,Default_Elo,Default Elo,0.1-0.2,0.1,0.2,1,0.190443069329,0,-0.190443069329
Minimum total games <=5,Default_Elo,Default Elo,0.2-0.3,0.2,0.3,23,0.262264216497,0.521739130435,0.259474913937
Minimum total games <=5,Default_Elo,Default Elo,0.3-0.4,0.3,0.4,96,0.361165978811,0.458333333333,0.0971673545222
Minimum total games <=5,Default_Elo,Default Elo,0.4-0.5,0.4,0.5,181,0.451115752065,0.458563535912,0.00744778384672
Minimum total games <=5,Default_Elo,Default Elo,0.5-0.6,0.5,0.6,101,0.537539607365,0.673267326733,0.135727719368
Minimum total games <=5,Default_Elo,Default Elo,0.6-0.7,0.6,0.7,22,0.638425908001,0.818181818182,0.179755910181
Minimum total games <=5,Default_Elo,Default Elo,0.7-0.8,0.7,0.8,20,0.734786504915,0.95,0.215213495085
Minimum total games <=5,Default_Elo,Default Elo,0.8-0.9,0.8,0.9,9,0.847723180086,0.888888888889,0.0411657088033
Minimum total games <=5,Default_Elo,Default Elo,0.9-1.0,0.9,1,12,0.946411088027,0.75,-0.196411088027
Minimum recent games <=5,Glicko_low_fixed,Glicko low inflation,0.0-0.1,0,0.1,99,0.058768364771,0.141414141414,0.0826457766432
Minimum recent games <=5,Glicko_low_fixed,Glicko low inflation,0.1-0.2,0.1,0.2,190,0.151662669354,0.257894736842,0.106232067488
Minimum recent games <=5,Glicko_low_fixed,Glicko low inflation,0.2-0.3,0.2,0.3,182,0.250791344343,0.373626373626,0.122835029284
Minimum recent games <=5,Glicko_low_fixed,Glicko low inflation,0.3-0.4,0.3,0.4,179,0.351473027376,0.413407821229,0.0619347938533
Minimum recent games <=5,Glicko_low_fixed,Glicko low inflation,0.4-0.5,0.4,0.5,185,0.454655834206,0.459459459459,0.00480362525331
Minimum recent games <=5,Glicko_low_fixed,Glicko low inflation,0.5-0.6,0.5,0.6,162,0.548428267945,0.530864197531,-0.0175640704141
Minimum recent games <=5,Glicko_low_fixed,Glicko low inflation,0.6-0.7,0.6,0.7,187,0.653382515871,0.620320855615,-0.0330616602563
Minimum recent games <=5,Glicko_low_fixed,Glicko low inflation,0.7-0.8,0.7,0.8,150,0.74849408326,0.686666666667,-0.0618274165933
Minimum recent games <=5,Glicko_low_fixed,Glicko low inflation,0.8-0.9,0.8,0.9,164,0.848481446142,0.780487804878,-0.0679936412643
Minimum recent games <=5,Glicko_low_fixed,Glicko low inflation,0.9-1.0,0.9,1,137,0.945533460982,0.948905109489,0.00337164850718
Minimum recent games <=5,Validation_best_Elo,Validation-best Elo,0.0-0.1,0,0.1,48,0.0499794250004,0,-0.0499794250004
Minimum recent games <=5,Validation_best_Elo,Validation-best Elo,0.1-0.2,0.1,0.2,78,0.153957891513,0.217948717949,0.0639908264356
Minimum recent games <=5,Validation_best_Elo,Validation-best Elo,0.2-0.3,0.2,0.3,190,0.255642009012,0.268421052632,0.0127790436192
Minimum recent games <=5,Validation_best_Elo,Validation-best Elo,0.3-0.4,0.3,0.4,252,0.35514245618,0.452380952381,0.0972384962009
Minimum recent games <=5,Validation_best_Elo,Validation-best Elo,0.4-0.5,0.4,0.5,274,0.450369153805,0.43795620438,-0.0124129494251
Minimum recent games <=5,Validation_best_Elo,Validation-best Elo,0.5-0.6,0.5,0.6,236,0.549425407956,0.529661016949,-0.0197643910073
Minimum recent games <=5,Validation_best_Elo,Validation-best Elo,0.6-0.7,0.6,0.7,187,0.645082800787,0.652406417112,0.00732361632542
Minimum recent games <=5,Validation_best_Elo,Validation-best Elo,0.7-0.8,0.7,0.8,132,0.743349427501,0.659090909091,-0.0842585184104
Minimum recent games <=5,Validation_best_Elo,Validation-best Elo,0.8-0.9,0.8,0.9,117,0.85100913948,0.888888888889,0.0378797494084
Minimum recent games <=5,Validation_best_Elo,Validation-best Elo,0.9-1.0,0.9,1,121,0.948782808441,0.933884297521,-0.0148985109199
Minimum recent games <=5,best_AdaptiveK,Best adaptive-K Elo,0.0-0.1,0,0.1,30,0.0567167032036,0.0333333333333,-0.0233833698703
Minimum recent games <=5,best_AdaptiveK,Best adaptive-K Elo,0.1-0.2,0.1,0.2,75,0.160588759411,0.133333333333,-0.0272554260775
Minimum recent games <=5,best_AdaptiveK,Best adaptive-K Elo,0.2-0.3,0.2,0.3,202,0.256609968371,0.306930693069,0.0503207246982
Minimum recent games <=5,best_AdaptiveK,Best adaptive-K Elo,0.3-0.4,0.3,0.4,277,0.350169784462,0.451263537906,0.101093753444
Minimum recent games <=5,best_AdaptiveK,Best adaptive-K Elo,0.4-0.5,0.4,0.5,306,0.449314009175,0.411764705882,-0.0375493032929
Minimum recent games <=5,best_AdaptiveK,Best adaptive-K Elo,0.5-0.6,0.5,0.6,253,0.546807233915,0.569169960474,0.0223627265592
Minimum recent games <=5,best_AdaptiveK,Best adaptive-K Elo,0.6-0.7,0.6,0.7,185,0.648886805794,0.659459459459,0.0105726536657
Minimum recent games <=5,best_AdaptiveK,Best adaptive-K Elo,0.7-0.8,0.7,0.8,123,0.741862108807,0.772357723577,0.0304956147698
Minimum recent games <=5,best_AdaptiveK,Best adaptive-K Elo,0.8-0.9,0.8,0.9,106,0.851746421613,0.88679245283,0.0350460312169
Minimum recent games <=5,best_AdaptiveK,Best adaptive-K Elo,0.9-1.0,0.9,1,78,0.941836524247,0.948717948718,0.00688142447135
Minimum recent games <=5,Glicko_C0_fixed,Glicko C0,0.0-0.1,0,0.1,55,0.0631012196383,0.254545454545,0.191444234907
Minimum recent games <=5,Glicko_C0_fixed,Glicko C0,0.1-0.2,0.1,0.2,143,0.151268054222,0.307692307692,0.15642425347
Minimum recent games <=5,Glicko_C0_fixed,Glicko C0,0.2-0.3,0.2,0.3,149,0.249081699191,0.355704697987,0.106622998795
Minimum recent games <=5,Glicko_C0_fixed,Glicko C0,0.3-0.4,0.3,0.4,198,0.348919881681,0.373737373737,0.0248174920568
Minimum recent games <=5,Glicko_C0_fixed,Glicko C0,0.4-0.5,0.4,0.5,204,0.448437992031,0.436274509804,-0.0121634822271
Minimum recent games <=5,Glicko_C0_fixed,Glicko C0,0.5-0.6,0.5,0.6,221,0.55217664425,0.434389140271,-0.117787503978
Minimum recent games <=5,Glicko_C0_fixed,Glicko C0,0.6-0.7,0.6,0.7,199,0.650274552033,0.613065326633,-0.0372092253999
Minimum recent games <=5,Glicko_C0_fixed,Glicko C0,0.7-0.8,0.7,0.8,196,0.748835016139,0.647959183673,-0.100875832466
Minimum recent games <=5,Glicko_C0_fixed,Glicko C0,0.8-0.9,0.8,0.9,168,0.848859187574,0.797619047619,-0.051240139955
Minimum recent games <=5,Glicko_C0_fixed,Glicko C0,0.9-1.0,0.9,1,102,0.941984299221,0.980392156863,0.0384078576413
Minimum recent games <=5,Default_Elo,Default Elo,0.0-0.1,0,0.1,19,0.0519369332157,0,-0.0519369332157
Minimum recent games <=5,Default_Elo,Default Elo,0.1-0.2,0.1,0.2,39,0.15740994788,0.025641025641,-0.131768922239
Minimum recent games <=5,Default_Elo,Default Elo,0.2-0.3,0.2,0.3,102,0.261819020999,0.274509803922,0.0126907829224
Minimum recent games <=5,Default_Elo,Default Elo,0.3-0.4,0.3,0.4,280,0.356500057063,0.382142857143,0.0256428000801
Minimum recent games <=5,Default_Elo,Default Elo,0.4-0.5,0.4,0.5,435,0.451751775158,0.422988505747,-0.0287632694106
Minimum recent games <=5,Default_Elo,Default Elo,0.5-0.6,0.5,0.6,330,0.543844820394,0.6,0.0561551796059
Minimum recent games <=5,Default_Elo,Default Elo,0.6-0.7,0.6,0.7,171,0.648022390995,0.666666666667,0.0186442756715
Minimum recent games <=5,Default_Elo,Default Elo,0.7-0.8,0.7,0.8,102,0.745157483732,0.754901960784,0.00974447705205
Minimum recent games <=5,Default_Elo,Default Elo,0.8-0.9,0.8,0.9,94,0.850636834028,0.904255319149,0.053618485121
Minimum recent games <=5,Default_Elo,Default Elo,0.9-1.0,0.9,1,63,0.938367212319,0.936507936508,-0.0018592758113
Inactive >=365 days,Glicko_low_fixed,Glicko low inflation,0.0-0.1,0,0.1,9,0.0520698433017,0.111111111111,0.0590412678094
Inactive >=365 days,Glicko_low_fixed,Glicko low inflation,0.1-0.2,0.1,0.2,16,0.156349504315,0.1875,0.0311504956846
Inactive >=365 days,Glicko_low_fixed,Glicko low inflation,0.2-0.3,0.2,0.3,25,0.24848481205,0.16,-0.08848481205
Inactive >=365 days,Glicko_low_fixed,Glicko low inflation,0.3-0.4,0.3,0.4,16,0.348302318154,0.3125,-0.0358023181539
Inactive >=365 days,Glicko_low_fixed,Glicko low inflation,0.4-0.5,0.4,0.5,22,0.454228741491,0.363636363636,-0.0905923778546
Inactive >=365 days,Glicko_low_fixed,Glicko low inflation,0.5-0.6,0.5,0.6,24,0.54437156538,0.625,0.08062843462
Inactive >=365 days,Glicko_low_fixed,Glicko low inflation,0.6-0.7,0.6,0.7,24,0.659073125072,0.458333333333,-0.200739791739
Inactive >=365 days,Glicko_low_fixed,Glicko low inflation,0.7-0.8,0.7,0.8,18,0.745646155646,0.833333333333,0.087687177687
Inactive >=365 days,Glicko_low_fixed,Glicko low inflation,0.8-0.9,0.8,0.9,26,0.850712687006,0.730769230769,-0.119943456237
Inactive >=365 days,Glicko_low_fixed,Glicko low inflation,0.9-1.0,0.9,1,18,0.950295350548,0.944444444444,-0.00585090610356
Inactive >=365 days,Validation_best_Elo,Validation-best Elo,0.0-0.1,0,0.1,4,0.0548617903998,0,-0.0548617903998
Inactive >=365 days,Validation_best_Elo,Validation-best Elo,0.1-0.2,0.1,0.2,15,0.154188780388,0.133333333333,-0.0208554470543
Inactive >=365 days,Validation_best_Elo,Validation-best Elo,0.2-0.3,0.2,0.3,22,0.251066457194,0.136363636364,-0.11470282083
