year,matches,n_active_players,n_established_active_players,n_known_players_end_year,n_new_recorded_players,mean_rating_active,median_rating_active,p10_rating_active,p90_rating_active,mean_rating_established_active,median_rating_established_active,p10_rating_established_active,p90_rating_established_active,mean_rating_all_known,median_rating_all_known,initial_rating,initial_minus_established_active_median,net_glicko_rating_update_change,cumulative_net_glicko_rating_update_change,rating_sum_end_year,rating_sum_reconciliation_error
2006,15674,1200,1090,3133,110,1367.7742222827399,1345.1129319222218,1039.1642363397386,1736.9223798546957,1386.2773071972215,1376.0945083940462,1050.0769401254752,1753.1599439495787,1321.1514304449397,1300.4680410489673,1500.0,123.90549160595378,-40354.13716141374,-560332.568416004,4139167.431583996,2.3283064365386963e-09
2007,15273,1187,1066,3254,121,1371.9366193938636,1361.110645742181,1029.451524133985,1733.562331188931,1390.0683207363302,1379.0975611676354,1050.0519233862326,1752.0344264093137,1316.218219413546,1295.4227061234872,1500.0,120.90243883236462,-37693.34561231811,-598025.9140283221,4282974.085971679,-1.862645149230957e-09
2008,15772,1159,1061,3352,98,1376.692917378494,1363.574843324767,1049.0425688731927,1746.3715919742776,1391.4381729722193,1383.9216341228068,1049.6075366330774,1761.6014735618653,1311.8986607867403,1287.040265743697,1500.0,116.07836587719316,-32489.77501452545,-630515.6890428475,4397484.310957153,-3.725290298461914e-09
2009,16397,1252,1112,3492,140,1358.7646487265556,1329.4066930604918,1024.855302506963,1742.528489955426,1379.8826779825977,1350.5081072490252,1040.3502548552835,1760.7174491247622,1306.8977912249038,1282.1246561311302,1500.0,149.49189275097478,-43797.22399978892,-674312.9130426364,4563687.086957364,-1.210719347000122e-08
2010,14816,1162,1059,3595,103,1376.513759410535,1342.3220074696533,1035.8516865332238,1751.8452085211636,1388.8995015300266,1357.186189527073,1041.7062626522236,1763.6828566970275,1304.8366938417123,1281.4903741768412,1500.0,142.8138104729269,-27299.172596408967,-701612.0856390453,4690887.914360955,9.313225746154785e-10
2011,14682,1205,1101,3699,104,1368.8763055878726,1351.3395845223797,1010.4188293825651,1745.3990130611728,1385.1397106305728,1366.6212295050643,1032.2568991513754,1758.5201475615518,1300.7148821291728,1278.4468808725633,1500.0,133.37877049493568,-35543.5653651452,-737155.6510041906,4811344.34899581,-2.7939677238464355e-09
2012,14574,1167,1076,3790,91,1365.5384662991187,1344.0907752497242,998.7934981371664,1756.2465810432482,1385.55124508836,1364.3031117420444,1028.1922694896707,1768.644571269202,1296.3619684325815,1274.7077903593604,1500.0,135.6968882579556,-34632.488636325055,-771788.1396405157,4913211.860359484,-7.450580596923828e-09
2013,15395,1177,1064,3903,113,1373.6761046971692,1351.8241213473057,1030.4187321941743,1771.5703881373981,1388.6401352111739,1366.4716633641588,1046.3087410797407,1785.7334638693847,1294.051346167185,1271.793026506212,1500.0,133.52833663584124,-32029.456268961636,-803817.5959094773,5050682.404090524,-1.4901161193847656e-08
2014,14434,1190,1072,4021,118,1359.9914793718876,1332.2964066145028,1026.0190095189275,1754.1759592442531,1380.779279171911,1350.9723299529473,1045.9256506303536,1781.3296593399896,1289.3016999417014,1265.6627209487792,1500.0,149.02767004705265,-43400.268624941295,-847217.8645344186,5184282.135465581,8.381903171539307e-09
2015,14481,1226,1114,4133,112,1354.690780159385,1318.6394898766966,1000.7180613610522,1753.866144143406,1366.9743499670176,1339.4234866664146,1011.7281238906941,1767.606695505879,1285.9842671274553,1262.7024509458608,1500.0,160.57651333358535,-37309.15942780922,-884527.0239622277,5314972.976037772,4.6566128730773926e-09
2016,15082,1204,1107,4230,97,1352.6746369098591,1324.0108220041716,1003.1149165666814,1761.4527039105194,1365.9340755166218,1334.026409365193,1016.5621489193527,1778.4088540501107,1282.8707184040998,1259.3980424455012,1500.0,165.9735906348069,-33929.8371884299,-918456.8611506576,5426543.138849342,1.862645149230957e-09
2017,14393,1274,1150,4354,124,1339.1430395735636,1294.7783075142036,993.9950634191581,1759.3881512311514,1358.5252538179273,1320.9683445044254,1007.8490982077902,1779.8311363905718,1278.4638175006962,1252.968143691836,1500.0,179.03165549557457,-46111.67745131039,-964568.538601968,5566431.461398032,1.4901161193847656e-08
2018,15188,1310,1183,4481,127,1334.9484249825286,1302.8179215219295,978.7356027725662,1768.156147699619,1352.266475622154,1317.7301814209284,998.5753696323889,1781.453171374491,1274.01840239951,1248.8710560788668,1500.0,182.26981857907163,-48055.00024582753,-1012623.5388477955,5708876.461152204,-3.725290298461914e-09
2019,14011,1242,1149,4574,93,1334.8434181300365,1307.3804715435363,972.6654840895627,1758.72469753616,1351.9192435733341,1323.632915153821,986.5668541457637,1779.5466400018745,1270.0738870598884,1247.4304446604538,1500.0,176.36708484617907,-39058.50174027562,-1051682.040588071,5809317.959411929,-1.1175870895385742e-08
2020,7643,835,764,4645,71,1374.9672981051153,1350.8652507848,998.978810442221,1814.6953052831961,1392.5946531320894,1364.8709987698446,1018.8906313663462,1852.0979822488473,1268.0668299146246,1246.357714749011,1500.0,135.12900123015538,-25647.534458497903,-1077329.575046569,5890170.424953431,-1.1175870895385742e-08
2021,10036,1142,1017,4770,125,1344.6976567919487,1313.9145339131346,997.6283708629635,1762.8154911057352,1361.9440752739135,1330.1923237361707,1011.5467596993128,1782.2272198766834,1266.1576293659639,1243.3066710347994,1500.0,169.8076762638293,-38098.53287778274,-1115428.107924352,6039571.892075648,-2.2351741790771484e-08
2022,11388,1149,1054,4865,95,1347.828021619186,1324.6900885592704,982.7328921894094,1769.2909254854378,1360.5913051880848,1334.1354007448736,999.5678498557966,1779.261065861649,1264.3179305483143,1242.5485393711297,1500.0,165.86459925512645,-31165.159958098193,-1146593.26788245,6150906.7321175495,3.725290298461914e-09
2023,12628,1184,1085,4964,99,1344.8910364343658,1317.0456145261555,970.689070751737,1782.0466375418623,1358.837185405166,1329.1175926467895,980.048966558651,1797.664656108607,1262.1908775785166,1240.924117618942,1500.0,170.8824073532105,-33891.21581779479,-1180484.483700245,6265515.516299756,-1.1175870895385742e-08
2024,11260,1154,1051,5067,103,1334.4757820367824,1300.1599588020629,956.0513566726913,1766.13580326447,1352.824678376705,1316.6462320029793,972.4465050793723,1793.1037488156742,1259.5664175399154,1238.3322390000578,1500.0,183.35376799702067,-37792.4786250035,-1218276.9623252484,6382223.037674751,-5.587935447692871e-09
2025,11379,1122,1046,5143,76,1358.0239855022878,1324.4822247115987,971.3682246173478,1811.2996327797512,1371.6420608659455,1334.5442699050645,989.9505239264738,1823.7107637276479,1257.8810617233967,1236.4557739987386,1500.0,165.45573009493546,-26940.73723132246,-1245217.699556571,6469282.3004434295,4.6566128730773926e-09
