year,entry_cohort,n_first_appearances,n_unique_players,n_unique_matches,n_both_debut_matches,mean_predicted_win_probability,empirical_win_rate,prediction_bias_mean_p_minus_win_rate,brier,log_loss,mean_focal_rating,mean_opponent_rating,median_opponent_rating,mean_focal_minus_opponent_rating,median_focal_minus_opponent_rating,mean_focal_rd,mean_opponent_rd,mean_opponent_prior_games
2011,post_burn_in_recorded_entry,104,104,100,4,0.6549756291577169,0.27884615384615385,0.37612947531156304,0.3278169721309415,0.8849586955351642,1500.0,1305.080797614002,1286.8036625259606,194.91920238599818,213.1963374740393,350.0,128.6603438824289,211.40384615384616
2012,post_burn_in_recorded_entry,91,91,88,3,0.6490847310512555,0.2087912087912088,0.4402935222600467,0.3612052794030107,0.9840841878527503,1500.0,1313.6828292882378,1311.2866939309185,186.3171707117621,188.71330606908145,350.0,125.11503445246687,221.56043956043956
2013,post_burn_in_recorded_entry,113,113,104,9,0.6483878478187182,0.415929203539823,0.23245864427889518,0.27018645504200317,0.7510981282325383,1500.0,1312.8996860837526,1328.1019050369962,187.1003139162474,171.8980949630038,350.0,162.0669492777929,157.8495575221239
2014,post_burn_in_recorded_entry,118,118,111,7,0.6537213230138209,0.3728813559322034,0.2808399670816175,0.32670934261828094,0.8979579332968538,1500.0,1307.0675608000927,1287.586429249764,192.93243919990732,212.41357075023598,350.0,144.99956542210126,209.58474576271186
2015,post_burn_in_recorded_entry,112,112,104,8,0.6375658366329675,0.38392857142857145,0.25363726520439606,0.28454943566863583,0.8063665497600594,1500.0,1325.294318350116,1326.9840766159832,174.7056816498839,173.0159233840169,350.0,150.2359499939717,192.05357142857142
2016,post_burn_in_recorded_entry,97,97,93,4,0.6706600797725264,0.44329896907216493,0.22736111070036147,0.2683151236412434,0.7485962556359815,1500.0,1286.3345032271754,1280.7679619776884,213.66549677282458,219.2320380223116,350.0,136.71781364815084,172.2577319587629
2017,post_burn_in_recorded_entry,124,124,117,7,0.6844197942815672,0.3709677419354839,0.3134520523460833,0.3115485495923415,0.861328107342787,1500.0,1256.2803382741895,1189.7897199646504,243.71966172581054,310.21028003534946,350.0,145.4315486587383,198.8548387096774
2018,post_burn_in_recorded_entry,127,127,121,6,0.6997804807900542,0.3228346456692913,0.37694583512076285,0.37832572021548627,1.0408011103438204,1500.0,1239.6251152542784,1230.147803150986,260.3748847457218,269.85219684901404,350.0,146.13810887169547,200.8503937007874
2019,post_burn_in_recorded_entry,93,93,89,4,0.7293932767499107,0.3763440860215054,0.35304919072840535,0.3636427165417219,1.0053830456869937,1500.0,1201.4305239294633,1188.7653723174446,298.5694760705368,311.23462768255536,350.0,135.10962646716382,214.31182795698925
2020,post_burn_in_recorded_entry,71,71,67,4,0.6437346925076554,0.23943661971830985,0.4042980727893455,0.3653474582380799,1.0197974323530303,1500.0,1306.9729961368787,1312.091525446562,193.02700386312168,187.90847455343805,350.0,148.77184048747483,210.07042253521126
2021,post_burn_in_recorded_entry,125,125,117,8,0.6761871643621981,0.4,0.27618716436219803,0.30465733750313173,0.8582890112272863,1500.0,1272.856227462769,1230.4619282552262,227.14377253723106,269.5380717447738,350.0,170.71037276837123,136.056
2022,post_burn_in_recorded_entry,95,95,91,4,0.71214054394749,0.4631578947368421,0.24898264921064794,0.3130974075168364,0.8634110351339441,1500.0,1230.6759594940281,1225.0525679926673,269.32404050597177,274.94743200733274,350.0,147.894129584106,154.76842105263157
2023,post_burn_in_recorded_entry,99,99,94,5,0.7140698148532469,0.37373737373737376,0.3403324411158732,0.34936350908508745,0.9721641203289398,1500.0,1220.50708835172,1217.890477152187,279.49291164827997,282.10952284781297,350.0,155.31116249562209,162.55555555555554
2024,post_burn_in_recorded_entry,103,103,100,3,0.749621347467951,0.42718446601941745,0.3224368814485335,0.33206465975580673,0.9251020316264845,1500.0,1175.6660116633968,1150.1030545684139,324.33398833660345,349.8969454315861,350.0,146.47734712981907,135.8640776699029
2025,test_year_recorded_entry,76,76,74,2,0.7434483364117653,0.40789473684210525,0.3355535995696601,0.3223155238042425,0.895574386041908,1500.0,1180.7550147538468,1128.9707892838228,319.24498524615313,371.0292107161772,350.0,139.24621051431947,110.63157894736842
