year,entry_cohort,evidence_status,n_first_appearances,n_unique_players,n_unique_matches,n_both_new_matches,mean_current_probability,mean_direct_probability,empirical_win_rate,current_prediction_bias,direct_prediction_bias,current_brier,direct_brier,current_log_loss,direct_log_loss,mean_opponent_rating,median_opponent_rating,mean_initial_minus_opponent_rating,median_initial_minus_opponent_rating,mean_contemporaneous_established_rating,median_contemporaneous_established_rating,mean_initial_minus_contemporaneous_median,median_initial_minus_contemporaneous_median,mean_active_established_365d_median,mean_initial_minus_active_established_365d_median,mean_probability_difference_direct_minus_current,mean_contemporaneous_pool_size,share_contemporaneous_scale_available,share_active_scale_available
2005,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,144,144,136,8,0.6302105511164977,0.6600088570630537,0.4097222222222222,0.2204883288942755,0.25028663484083147,0.2700389538887136,0.2896015551307027,0.7576741234064812,0.8396613553190639,1338.174755435017,1340.2055202082206,161.82524456498297,159.7944797917795,1331.0529215490326,1309.083840643871,190.80835504744547,190.9161593561289,1358.5137553184493,141.48624468155063,0.029798305946556067,2950.4444444444443,1.0,1.0
2006,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,110,110,107,3,0.6482588027503322,0.6768772679121839,0.21818181818181817,0.43007698456851406,0.4586954497303658,0.3525824714265056,0.3912559444696086,0.9609321547126282,1.1275068660213299,1312.1501134816065,1226.3403179326872,187.84988651839328,273.6596820673128,1324.4344928430182,1301.5003811122783,197.81575130202023,198.49961888772168,1347.7288971530586,152.27110284694174,0.028618465161851764,3077.4727272727273,1.0,1.0
2007,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,121,121,112,9,0.597479678095784,0.6227942036707618,0.256198347107438,0.34128133098834595,0.3665958565633238,0.3237393001785543,0.3549675693863627,0.8739378184449255,0.9816531571848556,1383.8214610076636,1396.5747894939157,116.17853899233633,103.42521050608434,1318.6001375929247,1296.8115473088924,202.81878620661092,203.1884526911076,1358.6380958056068,141.36190419439328,0.02531452557497789,3192.9256198347107,1.0,1.0
2008,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,98,98,95,3,0.5476520077024816,0.5562360669744847,0.20408163265306123,0.34357037504942034,0.35215443432142346,0.2961095609205095,0.32067741911952696,0.8263788754632931,0.9379715866875215,1437.4966634109585,1429.6955151454872,62.503336589041645,70.3044848545129,1314.0976354996426,1292.3700193121851,207.92211825843623,207.62998068781485,1366.1172560829282,133.8827439170718,0.00858405927200317,3302.469387755102,1.0,1.0
2009,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,140,140,128,12,0.5835629445963184,0.602118739076035,0.2857142857142857,0.2978486588820327,0.31640445336174927,0.3103720256475793,0.3399597185098221,0.8526515347622645,0.9740134306348421,1394.376416563049,1385.8959902502384,105.62358343695102,114.10400974976176,1310.394750399939,1286.0547508545378,214.29163357514722,213.94524914546218,1345.1195458815337,154.88045411846616,0.018555794479716527,3421.4142857142856,1.0,1.0
2010,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,103,103,99,4,0.595398365846425,0.6181383100044268,0.34951456310679613,0.2458838027396289,0.26862374689763063,0.26024191609312214,0.28095405919125843,0.7237826457181655,0.7944472854005026,1384.6565929560888,1334.065999351077,115.34340704391094,165.93400064892307,1306.2945160629981,1282.412554009929,217.487307101002,217.58744599007105,1337.5795410890644,162.42045891093568,0.022739944158001707,3542.9611650485435,1.0,1.0
2011,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,104,104,100,4,0.6549756291577169,0.6906182505750329,0.27884615384615385,0.37612947531156304,0.41177209672887904,0.3278169721309415,0.3672996600663686,0.8849586955351642,1.031898371015202,1305.080797614002,1286.8036625259606,194.91920238599818,213.1963374740393,1302.5036807746158,1280.893918327335,219.65063698242977,219.1060816726649,1352.0629915221182,147.9370084778818,0.03564262141731607,3646.4615384615386,1.0,1.0
2012,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,91,91,88,3,0.6490847310512555,0.6797282090344097,0.2087912087912088,0.4402935222600467,0.47093700024320084,0.3612052794030107,0.4035891267105888,0.9840841878527503,1.1645374329215468,1313.6828292882378,1311.2866939309185,186.3171707117621,188.71330606908145,1298.3733516078848,1277.176075719123,223.1750580702187,222.823924280877,1348.9203932949288,151.0796067050712,0.030643477983154137,3743.967032967033,1.0,1.0
2013,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,113,113,104,9,0.6483878478187182,0.6818587209451804,0.415929203539823,0.23245864427889518,0.2659295174053574,0.27018645504200317,0.29267142733555424,0.7510981282325383,0.8368596059106659,1312.8996860837526,1328.1019050369962,187.1003139162474,171.8980949630038,1295.0582759060069,1272.7686311501425,226.91399192534985,227.23136884985752,1349.5889260377458,150.41107396225394,0.03347087312646223,3845.920353982301,1.0,1.0
2014,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,118,118,111,7,0.6537213230138209,0.6875842804631234,0.3728813559322034,0.2808399670816175,0.31470292453091997,0.32670934261828094,0.35966000573338147,0.8979579332968538,1.045237434083752,1307.0675608000927,1287.586429249764,192.93243919990732,212.41357075023598,1291.794643912261,1267.1100404980748,231.77846678446622,232.8899595019252,1340.1313162435674,159.86868375643235,0.03386295744930252,3961.4406779661017,1.0,1.0
2015,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,112,112,104,8,0.6375658366329675,0.6658399047981061,0.38392857142857145,0.25363726520439606,0.2819113333695346,0.28454943566863583,0.30643719217389337,0.8063665497600594,0.8944945253766706,1325.294318350116,1326.9840766159832,174.7056816498839,173.0159233840169,1287.484899428864,1264.5144133641506,235.6928044601485,235.48558663584936,1328.5167200367541,171.48327996324602,0.028274068165138836,4076.4285714285716,1.0,1.0
2016,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,97,97,93,4,0.6706600797725264,0.7083519520488918,0.44329896907216493,0.22736111070036147,0.26505298297672686,0.2683151236412434,0.2913507376153363,0.7485962556359815,0.8425427451054598,1286.3345032271754,1280.7679619776884,213.66549677282458,219.2320380223116,1284.6695475411939,1260.1589198971808,239.52600330208884,239.8410801028192,1328.3352324830291,171.66476751697093,0.03769187227636548,4180.958762886598,1.0,1.0
2017,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,124,124,117,7,0.6844197942815672,0.7181938719834821,0.3709677419354839,0.3134520523460833,0.3472261300479982,0.3115485495923415,0.3464056510385099,0.861328107342787,1.0149766183120013,1256.2803382741895,1189.7897199646504,243.71966172581054,310.21028003534946,1280.7277948100996,1257.454355925841,243.2219977140703,242.5456440741591,1316.3377110100785,183.66228898992182,0.03377407770191486,4291.443548387097,1.0,1.0
2018,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,127,127,121,6,0.6997804807900542,0.738699204967361,0.3228346456692913,0.37694583512076285,0.41586455929806965,0.37832572021548627,0.4236913223198443,1.0408011103438204,1.2592843670153997,1239.6251152542784,1230.147803150986,260.3748847457218,269.85219684901404,1276.0908222385267,1251.0253801294493,248.79377737343668,248.97461987055067,1296.97005295503,203.0299470449699,0.038918724177306595,4416.952755905511,1.0,1.0
2019,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,93,93,89,4,0.7293932767499107,0.776247549636493,0.3763440860215054,0.35304919072840535,0.39990346361498763,0.3636427165417219,0.40928524743858447,1.0053830456869937,1.2088674754176205,1201.4305239294633,1188.7653723174446,298.5694760705368,311.23462768255536,1272.2643765961695,1248.463959866373,251.63538128522308,251.536040133627,1307.5156691944628,192.48433080553704,0.04685427288658222,4526.956989247312,1.0,1.0
2020,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,71,71,67,4,0.6437346925076554,0.6677813425357169,0.23943661971830985,0.4042980727893455,0.428344722817407,0.3653474582380799,0.39989782225295883,1.0197974323530303,1.2042640361210688,1306.9729961368787,1312.091525446562,193.02700386312168,187.90847455343805,1269.0922945446894,1247.3246785665524,252.80758842490903,252.6753214334476,1332.1156575241714,167.8843424758289,0.024046650028061476,4608.943661971831,1.0,1.0
2021,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,125,125,117,8,0.6761871643621981,0.7064199626607612,0.4,0.27618716436219803,0.3064199626607612,0.30465733750313173,0.3292981760583703,0.8582890112272863,0.9798681071690477,1272.856227462769,1230.4619282552262,227.14377253723106,269.5380717447738,1267.1850187250666,1246.0066778768255,254.24363076614483,253.9933221231745,1330.093535065567,169.906464934433,0.03023279829856321,4706.936,1.0,1.0
2022,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,95,95,91,4,0.71214054394749,0.7546963232885255,0.4631578947368421,0.24898264921064794,0.29153842855168344,0.3130974075168364,0.34650854078036214,0.8634110351339441,1.0048730976472715,1230.6759594940281,1225.0525679926673,269.32404050597177,274.94743200733274,1265.339218366981,1242.5385612464352,257.3215339652842,257.46143875356483,1320.4155567661535,179.58444323384649,0.0425557793410356,4816.957894736842,1.0,1.0
2023,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,99,99,94,5,0.7140698148532469,0.7519099324957444,0.37373737373737376,0.3403324411158732,0.3781725587583707,0.34936350908508745,0.3829747843183485,0.9721641203289398,1.1342780049933292,1220.50708835172,1217.890477152187,279.49291164827997,282.10952284781297,1263.2912483029472,1242.4154933686173,257.54081017093387,257.58450663138274,1325.7001967139047,174.2998032860951,0.03784011764249759,4913.949494949495,1.0,1.0
2024,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,103,103,100,3,0.749621347467951,0.7983822181278082,0.42718446601941745,0.3224368814485335,0.37119775210839073,0.33206465975580673,0.3702243828346958,0.9251020316264845,1.1066240235478229,1175.6660116633968,1150.1030545684139,324.33398833660345,349.8969454315861,1261.160962396173,1239.4467879371377,260.61620209142046,260.55321206286226,1311.9930637837065,188.00693621629352,0.048760870659857,5014.9708737864075,1.0,1.0
2025,test_year_recorded_entry,held-out test evidence,76,76,74,2,0.7434483364117653,0.7880934036692926,0.40789473684210525,0.3355535995696601,0.38019866682718734,0.3223155238042425,0.3598584161452452,0.895574386041908,1.052180713539456,1180.7550147538468,1128.9707892838228,319.24498524615313,371.0292107161772,1258.6831326990884,1237.3672993271366,262.6588512093879,262.6327006728634,1314.8478882930515,185.1521117069485,0.044645067257527114,5104.473684210527,1.0,1.0
